X,Y,Z
63.04711151123047,-58.385963439941406,-65.37744903564453
88.2710952758789,-142.76934814453125,-33.12360763549805
156.17428588867188,-179.59544372558594,27.92216682434082
104.28235626220703,-122.85578155517578,-16.919185638427734
75.77137756347656,-140.783203125,-10.259302139282227
78.56124877929688,-47.973201751708984,-187.07594299316406
66.34843444824219,-106.9824447631836,-60.24361801147461
48.30834197998047,-56.003578186035156,-65.74031829833984
47.657867431640625,-45.961647033691406,-159.53802490234375
78.905029296875,-103.24839782714844,4.68261194229126
15.083586692810059,-26.991636276245117,-11.237505912780762
61.16567611694336,-47.52088928222656,-81.8447265625
39.51353454589844,-43.68484878540039,-15.673794746398926
26.55546760559082,-42.05891799926758,-68.85038757324219
46.88239669799805,-38.994483947753906,-144.541259765625
23.338294982910156,3.291088342666626,-125.65577697753906
15.25439167022705,-10.440380096435547,-154.8744354248047
63.183349609375,-259.1381530761719,-118.73067474365234
32.891536712646484,-255.23504638671875,-96.86528778076172
22.259620666503906,-253.50042724609375,-93.6902847290039
18.688793182373047,-256.8952941894531,-93.07919311523438
25.85476303100586,-252.5108642578125,-109.83514404296875
36.88286590576172,-262.7825012207031,-97.49602508544922
39.5772819519043,-257.1416320800781,-115.1157455444336
34.885223388671875,-255.6221160888672,-104.38990020751953
29.038063049316406,-261.4046325683594,-88.12051391601562
41.97678756713867,-265.829345703125,-97.44591522216797
29.92566680908203,-259.54852294921875,-96.81831359863281
22.572324752807617,-260.7738342285156,-95.41621398925781
30.787330627441406,-254.17613220214844,-89.82794189453125
40.08949279785156,-257.1947326660156,-99.78952026367188
27.866479873657227,-261.77392578125,-99.6794662475586
12.526681900024414,-258.6128845214844,-96.70919036865234
14.861651420593262,-267.99078369140625,-91.67842864990234
24.638153076171875,-273.00946044921875,-77.35501861572266
10.251864433288574,-264.8008117675781,-104.70669555664062
-6.707156658172607,-261.6900329589844,-106.04588317871094
32.91896057128906,-281.02655029296875,-87.68706512451172
12.689104080200195,-255.47967529296875,-110.63629913330078
35.915958404541016,-260.67877197265625,-103.03040313720703
33.81599807739258,-275.7759094238281,-86.5910873413086
41.321258544921875,-269.2464294433594,-96.02355194091797
37.95071792602539,-257.30413818359375,-103.78386688232422
13.025086402893066,-246.908447265625,-111.2584228515625
0.9679766297340393,-258.3856506347656,-110.0274887084961
17.142515182495117,-257.0897521972656,-94.03524780273438
19.993667602539062,-259.0346374511719,-107.64463806152344
0.88072669506073,-249.4644775390625,-110.37952423095703
3.157076358795166,-251.74928283691406,-105.995361328125
3.014472723007202,-240.89678955078125,-112.19181060791016
-2.3102805614471436,-253.43101501464844,-106.57450866699219
4.92391300201416,-261.6656799316406,-97.91695404052734
-10.263282775878906,-258.6969909667969,-108.61380767822266
-2.6737728118896484,-259.6545104980469,-100.30261993408203
-7.837193012237549,-254.2547149658203,-98.49880981445312
-31.4874210357666,-259.8500671386719,-90.02136993408203
-13.869664192199707,-264.0357360839844,-108.91290283203125
-9.858887672424316,-258.18975830078125,-93.53553009033203
4.758909225463867,-256.2684020996094,-103.73251342773438
-11.058396339416504,-251.49977111816406,-98.63095092773438
-4.485975742340088,-253.4446258544922,-97.27555847167969
-27.190412521362305,-239.27911376953125,-92.63835144042969
-29.57264518737793,-226.08883666992188,-112.03922271728516
-33.28111267089844,-249.55088806152344,-91.80321502685547
-21.24112319946289,-232.75534057617188,-116.61555480957031
-29.200448989868164,-239.340087890625,-95.77685546875
-19.859655380249023,-242.58433532714844,-103.20816040039062
1.651763916015625,-227.91346740722656,-129.6353302001953
-14.122308731079102,-225.47023010253906,-128.75169372558594
-3.7583529949188232,-229.57542419433594,-120.5175552368164
-6.460991382598877,-250.81529235839844,-95.87612915039062
-15.26374340057373,-232.45623779296875,-108.06552124023438
-16.590476989746094,-236.2911834716797,-108.49162292480469
0.9526832103729248,-256.1713562011719,-101.90081024169922
-0.7888132333755493,-251.51112365722656,-101.14791870117188
-24.295211791992188,-251.1259002685547,-101.39250183105469
-5.228280067443848,-243.8319091796875,-96.85865020751953
-14.204889297485352,-241.9132080078125,-92.78227233886719
-5.260936260223389,-247.89212036132812,-92.342041015625
2.9308724403381348,-242.78890991210938,-104.24617004394531
16.489646911621094,-253.42601013183594,-93.69569396972656
3.4404356479644775,-247.1749725341797,-100.93517303466797
2.9330785274505615,-241.10720825195312,-98.45482635498047
28.348615646362305,-256.2116394042969,-94.81784057617188
16.852331161499023,-248.59336853027344,-92.36775207519531
28.6864013671875,-246.6317596435547,-96.76309967041016
15.726153373718262,-261.98858642578125,-99.3228988647461
6.561601638793945,-258.71417236328125,-91.86582946777344
