X,Y,Z
0.9262414574623108,-0.9194942116737366,0.7813308835029602
0.7848739624023438,-1.0372334718704224,0.8616666793823242
0.7697896957397461,-1.0074762105941772,0.8589644432067871
0.7635874152183533,-1.0268815755844116,0.8152626156806946
0.759604275226593,-1.0241601467132568,0.7992962002754211
0.8688020706176758,-1.0441088676452637,0.7821067571640015
0.7688093185424805,-1.036320686340332,0.755318284034729
0.7670669555664062,-1.0268468856811523,0.7272273302078247
0.8121373057365417,-1.0434722900390625,0.7119545936584473
0.7688753604888916,-0.9785508513450623,0.76175457239151
0.7538177967071533,-0.9681235551834106,0.658041775226593
0.777058482170105,-1.0064035654067993,0.6912451982498169
0.7557738423347473,-0.9882941842079163,0.6929076313972473
0.7877995371818542,-0.9841156601905823,0.6717885732650757
0.7857190370559692,-1.0325253009796143,0.696533739566803
0.7649876475334167,-1.0387471914291382,0.6571871042251587
0.7907426357269287,-1.0399919748306274,0.6476646661758423
-2.6818690299987793,-1.7615907192230225,1.5152599811553955
-2.7504770755767822,-1.4849423170089722,1.7243682146072388
-2.688939094543457,-1.4266656637191772,1.7067688703536987
-2.873522996902466,-1.3546899557113647,1.7889759540557861
-2.8614540100097656,-1.5321807861328125,1.7474336624145508
-2.795197010040283,-1.7510079145431519,1.7749255895614624
-2.857269763946533,-1.713035225868225,1.6146721839904785
-2.839106798171997,-1.6543793678283691,1.6302146911621094
-2.715059757232666,-1.567103624343872,1.6568279266357422
-2.6759960651397705,-1.7517528533935547,1.7125200033187866
-2.728247880935669,-1.663745641708374,1.808373212814331
-2.573425054550171,-1.5969940423965454,1.8175411224365234
-2.627220630645752,-1.5710797309875488,1.7102762460708618
-2.4900219440460205,-1.711463212966919,1.6140055656433105
-2.5193119049072266,-1.5719157457351685,1.7993303537368774
-2.54093337059021,-1.405795693397522,1.7929902076721191
-2.4622843265533447,-1.4075628519058228,1.7109743356704712
-2.3484766483306885,-1.4588780403137207,1.710368275642395
-2.2136709690093994,-1.3861260414123535,1.824826717376709
