step,sec,dump
31,0.500,Nsync-grv=     49450 Nsync-hyd=     15185  ::::rrde**********************************ttttttttttttxxxxxxXXXXXXXXXXXXeC99Hy+++++++++++++++++++++++++++l"""o??AA0KF---
32,4.022,Nsync-grv=   1467823 Nsync-hyd=    596330  r************************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXeeEEEccCC999999999HHHH[yyy+++?A00017
33,0.475,Nsync-grv=     48753 Nsync-hyd=     15266  ::::rDE**********************************ttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXE999Hy++++++++++++++++++++""""o??A)01F-
34,2.459,Nsync-grv=    573216 Nsync-hyd=    326514  :******************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXBeeEEcCC99999999HHHH[yyyy++++"?A0001F
35,0.509,Nsync-grv=     48205 Nsync-hyd=     15287  :::rrDE******************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXeC99H[y+++++++++++++++++++++""""o??A007----
36,3.708,Nsync-grv=   1007831 Nsync-hyd=    595470  :****************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEEccCC999999999HHHHH[[[yyyyy+++o?000017
37,0.564,Nsync-grv=     47546 Nsync-hyd=     15160  ::::rDE***********************tttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXec99H[y+++++++++++++++++++l""""oo??AA0kF---
38,2.355,Nsync-grv=    573356 Nsync-hyd=    326269  :E********************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXDeeEECJ99999999HHHH[[[yyy+++++oA0001F
39,0.516,Nsync-grv=     46627 Nsync-hyd=     15080  ::::rd***********************tttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXej9H[y++++++++++++++++++++l"""o??A0KF-
40,3.887,Nsync-grv=   1108193 Nsync-hyd=    595358  :*****************************************tttttttttttttttxxxxxXXXXXXXXXXXXXXXeeeEEccCC99999999HHHHHH[[[[yyyyy+++o?A0001F
41,0.493,Nsync-grv=     45660 Nsync-hyd=     15111  ::::rDde***************************ttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXeC99Hy+++++++++++++++++++++""""o??AA0KF---
42,2.797,Nsync-grv=    573604 Nsync-hyd=    326045  :*******************************ttttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeEEcCC999999HHHHH[[[yyyyy++++oA000F
43,0.514,Nsync-grv=     44815 Nsync-hyd=     15112  ::::rde*********************tttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeC99Hy++++++++++++++++++++l"""oo?AA01F-
44,3.956,Nsync-grv=   1007899 Nsync-hyd=    594471  :***********************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeeEEC999999999HHHH[[[yyyy+++?A00017
45,0.433,Nsync-grv=     44197 Nsync-hyd=     15128  :::::rDE*******************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXXeJ99Hy++++++++++++++++++++++++""""o???A)0kF--
46,2.839,Nsync-grv=    573686 Nsync-hyd=    325686  :******************************ttttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeEcC9999999HHHH[[[[[yyyy++++oA00007
47,0.494,Nsync-grv=     43535 Nsync-hyd=     14872  :::rrDE***********************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeC99Hy++++++++++++++++++++++l"""o??AA0kF--
48,3.959,Nsync-grv=   1296622 Nsync-hyd=    594356  r********************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXeeeEcCC999999999HHHH[[yyyy++"?A00017
49,0.463,Nsync-grv=     42725 Nsync-hyd=     14597  ::::rDE**************************tttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXeJ9HHy++++++++++++++++++++l""""o???A0K7--
50,2.714,Nsync-grv=    574026 Nsync-hyd=    325516  :e***********************************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXeeEEcCC999999HHHHH[[[[[yyyy++++"?A0001F
51,0.452,Nsync-grv=     42290 Nsync-hyd=     14316  :::::rDde****************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXej9H[y++++++++++++++++++++++l""""o??A)0kF--
52,3.780,Nsync-grv=   1007890 Nsync-hyd=    593422  :***************************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXeeeeEcC9999999999HHH[[[yyyy+++o?A0000017
53,0.466,Nsync-grv=     41979 Nsync-hyd=     13886  ::::rDde*************************ttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXe99Hy+++++++++++++++++++++l"""o??AA0KF--
54,2.446,Nsync-grv=    574549 Nsync-hyd=    325478  :e*******************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXDeeEECC99999999HHHH[[[yyyyy++++"?0001F
55,0.562,Nsync-grv=     41766 Nsync-hyd=     13314  :::rrDE*********************ttttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXE99H[[+++++++++++++++++++l"""o??AA0KF----
56,3.868,Nsync-grv=   1108170 Nsync-hyd=    593360  r*******************************************ttttttttttttttxxxxxXXXXXXXXXXXXX#eeEEcccCC999999999HHHH[[[[[yyyy+++"?A000017
57,0.480,Nsync-grv=     41522 Nsync-hyd=     12792  ::::rrde*************************ttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXEC99[y+++++++++++++++++++++++l"""o???A)0T---
58,2.738,Nsync-grv=    574950 Nsync-hyd=    325333  :**********************************ttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeeEcC9999999HHHH[[yyy+++"?0000F
59,0.544,Nsync-grv=     41341 Nsync-hyd=     12210  ::::rDE********************ttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeC9H[+++++++++++++++++++++"""oo??A0KF--
