step,sec,dump
1440,4.045,Nsync-grv=   1472266 Nsync-hyd=    467822  r*************************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXeeEc9999999HH[[yy++l?A)00111TF
1441,0.514,Nsync-grv=     48903 Nsync-hyd=      7352  :::rrDE**********************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXJ9y+++++++++++++++++++l"""o???A)K7---
1442,3.237,Nsync-grv=    644387 Nsync-hyd=    265856  :*****************************ttttttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeEEcC9999HHH[[[yy++++??AA011TF
1443,0.534,Nsync-grv=     49002 Nsync-hyd=      7385  :::rrDe****************************ttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXe9H++++++++++++++++++l"""o??AA0kF---
1444,3.907,Nsync-grv=   1015613 Nsync-hyd=    467335  r**************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEEcC9999999HHH[yyyy+++"?AA00111T7
1445,0.659,Nsync-grv=     49081 Nsync-hyd=      7415  ::rrd**********************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXE9y+++++++++++++++"""o?AAK7---
1446,3.119,Nsync-grv=    645169 Nsync-hyd=    266066  :********************************ttttttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXXeEEcC9999HHH[[yyy+++"?AA011TF
1447,0.491,Nsync-grv=     49149 Nsync-hyd=      7438  ::::rE***********************************tttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXe9Hy+++++++++++++++++++l"""o??A)01F-
1448,4.103,Nsync-grv=   1122722 Nsync-hyd=    467269  r**************************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEccC999999HHH[[yy+++??AA000011TTF
1449,0.647,Nsync-grv=     49224 Nsync-hyd=      7447  :::rDe*******************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXcHy+++++++++++++++++""oo?AAKF--
1450,2.819,Nsync-grv=    645979 Nsync-hyd=    266294  :**************************************ttttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy++++o?A)0011T7
1451,0.510,Nsync-grv=     49254 Nsync-hyd=      7452  ::::rrDE***********************************ttttttttttttttxxxxxXXXXXXXXXXXXXXE9Hy++++++++++++++++++++++l"""o??AAIK7------
1452,3.568,Nsync-grv=   1015653 Nsync-hyd=    466779  :********************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeEcccC99999999HH[[yyy+++o?AA000111T7
1453,0.553,Nsync-grv=     49284 Nsync-hyd=      7448  ::::rrDE********************************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXE9[+++++++++++++++++++"""oo???A)K7---
1454,3.443,Nsync-grv=    646551 Nsync-hyd=    266338  :************************tttttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXXeeEcC9999HH[[yy+++"??A001T7
1455,0.612,Nsync-grv=     49290 Nsync-hyd=      7451  :::rrE****************************tttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXDCH[y+++++++++++++++++l""oo??A01F--
1456,4.058,Nsync-grv=   1334266 Nsync-hyd=    466710  r********************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXeeEcCJ999999HH[[yyy+++o?AA000111T7
1457,0.563,Nsync-grv=     49344 Nsync-hyd=      7463  :::rDE***********************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXX9Hy++++++++++++++++++l""oo??AAKTF--
1458,2.918,Nsync-grv=    646952 Nsync-hyd=    266366  :************************************tttttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy++++"?AA0011TF
1459,0.481,Nsync-grv=     49347 Nsync-hyd=      7477  ::::rDE**********************************tttttttttttttttxxxxxxxxxXXXXXXXXXXXXXe9H+++++++++++++++++++++++l"""oo??AA01F---
1460,3.820,Nsync-grv=   1015641 Nsync-hyd=    466226  r**************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEcJ99999HHHH[[[[yyy+++o?AA000111T7
1461,0.569,Nsync-grv=     49542 Nsync-hyd=      7506  :::rDE**********************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXE9[++++++++++++++++++++"""o?AA01F-
1462,2.611,Nsync-grv=    647210 Nsync-hyd=    266243  :*******************************************tttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXXDeEcJ99999HHH[yyy+++"?AA0W11TF
1463,0.499,Nsync-grv=     49717 Nsync-hyd=      7541  ::::rDE**********************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXJHy+++++++++++++++++++++l""""o??A)K7--
1464,3.989,Nsync-grv=   1123046 Nsync-hyd=    466122  r****************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeeEccC999999HHHH[[[yyy+++o??AA0011TTF
1465,0.559,Nsync-grv=     49925 Nsync-hyd=      7573  :::rrd************************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXe9H+++++++++++++++++++"""o??AAK7---
1466,2.878,Nsync-grv=    647215 Nsync-hyd=    266003  :****************************************tttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeEcC99999HHH[[[yyy++++o?A0011TF
1467,0.451,Nsync-grv=     50176 Nsync-hyd=      7625  ::::rDE*****************************************tttttttttttttxxxxxxxxxXXXXXXXXXXc9[y+++++++++++++++++++++++""""o??AIKTF-
1468,4.139,Nsync-grv=   1015598 Nsync-hyd=    465617  r********************************tttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeECj999999HH[[yyy++o?A00W11T7
1469,0.497,Nsync-grv=     50421 Nsync-hyd=      7652  :::rrDE**********************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXJ9y+++++++++++++++++++++l"""oo??AA01F---
1470,2.612,Nsync-grv=    647227 Nsync-hyd=    265785  r********************************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXeeEcC99999HHH[yyy+++++??A00111T-
1471,0.520,Nsync-grv=     50651 Nsync-hyd=      7686  :::rrd*******************************ttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXe9H++++++++++++++++++++l"""o??A)K7---
1472,4.139,Nsync-grv=   1600000 Nsync-hyd=    465531  r****************************************************ttttttttttttttxxxxxxXXXXXXXXXXXXeeEcC999999HHH[[[yyyy+++??A000011T7
1473,0.682,Nsync-grv=     50661 Nsync-hyd=      7715  :::rrDE******************tttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXECH[++++++++++++++++""o???AKF-----
1474,2.894,Nsync-grv=    647366 Nsync-hyd=    265624  :*************************************tttttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXheEc99999HHH[[yyy+++"??A0011TF
1475,0.534,Nsync-grv=     50723 Nsync-hyd=      7731  ::::rDE*********************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXB9H+++++++++++++++++++++l"""o??A)KF---
1476,3.758,Nsync-grv=   1015601 Nsync-hyd=    465040  r*******************************************tttttttttttttttttxxxxxxXXXXXXXXXXXXXXXXeeEccCj999999HHH[[[yyy+++"?A0000111TF
1477,0.474,Nsync-grv=     50797 Nsync-hyd=      7734  ::::rDe************************************tttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXE9H++++++++++++++++++++++l"""oo??AAK1F-
1478,2.650,Nsync-grv=    647732 Nsync-hyd=    265586  :*******************************************tttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXheEcC99999HHH[yyy++++o?AA0011T7
1479,0.448,Nsync-grv=     50872 Nsync-hyd=      7743  ::::rDE***************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXe9H++++++++++++++++++++++l"""oo??A)K1F-
1480,3.804,Nsync-grv=   1123399 Nsync-hyd=    464946  r*******************************************ttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXdeeEcC9999999HHH[[yyy+++??A00111TF
1481,0.582,Nsync-grv=     50851 Nsync-hyd=      7739  :::rD***********************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXX9Hy++++++++++++++++"""o?AA01F-
1482,2.834,Nsync-grv=    648344 Nsync-hyd=    265675  :*****************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXX#eEccC99999HHH[[[[yyy++++l???A00011TF
1483,0.619,Nsync-grv=     50916 Nsync-hyd=      7746  :::rDe*******************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXX9Hy++++++++++++++++l""o??A)KF---
1484,3.986,Nsync-grv=   1015567 Nsync-hyd=    464477  :*************************************tttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXX#eeEcC999999HHHH[[yyyy++"??AA0011TTF
1485,0.536,Nsync-grv=     50941 Nsync-hyd=      7741  :::rrd*****************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXe9H++++++++++++++++++"""o??A)KF---
1486,2.732,Nsync-grv=    648865 Nsync-hyd=    265748  :********************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXeEEcCJ9999HHHH[[[[yy++++"??A00011TF
1487,0.469,Nsync-grv=     50981 Nsync-hyd=      7728  ::::rde*************************************tttttttttttttxxxxxXXXXXXXXXXXXXJ9y++++++++++++++++++++++++++++l""""o??AAK1F-
1488,4.009,Nsync-grv=   1335282 Nsync-hyd=    464375  :*********************************************ttttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXeeEcCj999999HHH[yyyy++"?A00011T7
1489,0.507,Nsync-grv=     50929 Nsync-hyd=      7720  ::::DE****************************ttttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXe9Hy++++++++++++++++++"""o??AAKTF-
1490,2.830,Nsync-grv=    649522 Nsync-hyd=    265835  :***************************************tttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXXeEEccCC9999HHH[[[yyy++++"?AA0k11TF
1491,0.521,Nsync-grv=     50833 Nsync-hyd=      7708  :::rDE***************************tttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXX9H++++++++++++++++++++++l"""o??A)KF-
1492,3.811,Nsync-grv=   1015600 Nsync-hyd=    463890  r***************************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXheeEC9999999HHH[[yyy++"?AA00111T7
1493,0.441,Nsync-grv=     50637 Nsync-hyd=      7666  ::::rDE*************************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXc9[+++++++++++++++++++++l""""o??AA0kF-
1494,2.819,Nsync-grv=    650027 Nsync-hyd=    265854  :****************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXeEcC9999HHHH[[[[yyy+++"???AA0001TTF
1495,0.481,Nsync-grv=     50565 Nsync-hyd=      7628  ::::rDE******************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXE9Hy++++++++++++++++++++""""o??A)KF--
1496,4.146,Nsync-grv=   1123753 Nsync-hyd=    463802  r**************************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEccC99999HHHH[[[[yyyy++"??AA00111TF
1497,0.512,Nsync-grv=     50522 Nsync-hyd=      7609  :::rrd***************************tttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXE9[++++++++++++++++++l"""o??A)KTF-
1498,2.904,Nsync-grv=    650303 Nsync-hyd=    265755  :************************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeEEcC99999HHH[[[yyyy+++"??A00011TF
1499,0.458,Nsync-grv=     50501 Nsync-hyd=      7590  ::::rDE***********************************ttttttttttttttxxxxxxXXXXXXXXXXXXXXD99y++++++++++++++++++++++++l"""oo???AIK7---
1500,3.701,Nsync-grv=   1015541 Nsync-hyd=    463351  r******************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXeeEcC999999HHH[[[yyy+++"?AA000111T7
1501,0.446,Nsync-grv=     50566 Nsync-hyd=      7579  ::::rDE************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXB99y+++++++++++++++++++++l"""oo?AA)KTF-
1502,2.855,Nsync-grv=    650510 Nsync-hyd=    265647  :*****************************************ttttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXXeEEccCC9999HHHH[[yyyy+++"??A)0011TF
1503,0.464,Nsync-grv=     50519 Nsync-hyd=      7577  ::::rDE**********************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXe9H+++++++++++++++++++++++l""""o??A)K7--
1504,3.866,Nsync-grv=   1472485 Nsync-hyd=    463247  r****************************************************ttttttttttttttttxxxxxXXXXXXXXXXXXXXXeeEcj999999HHH[[yy+++?AA00K11T7
1505,0.626,Nsync-grv=     50540 Nsync-hyd=      7578  :::rD*******************ttttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXXCHy+++++++++++++++""o??AIkF-
1506,2.833,Nsync-grv=    650708 Nsync-hyd=    265480  :****************************************ttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXeEEcC99999HHH[[[[yyy++++"?A)00111T-
1507,0.670,Nsync-grv=     50577 Nsync-hyd=      7583  :::rDE*****************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXc9y+++++++++++++++++++"""o??A0kF--
1508,4.243,Nsync-grv=   1015441 Nsync-hyd=    462784  r*******************************tttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeEcCC99999HHH[[[[yyy+++"?A0011T7
1509,0.583,Nsync-grv=     50624 Nsync-hyd=      7590  ::rrrDe************************ttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXe9[y++++++++++++++++++l""oo??A)K7-------
1510,2.808,Nsync-grv=    650851 Nsync-hyd=    265331  :****************************************tttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXXeEECC99999HHH[yyy+++++o??AA0k1TTF
1511,0.462,Nsync-grv=     50695 Nsync-hyd=      7590  ::::rDE************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXc9H+++++++++++++++++++++l""""o???A)K7--
1512,3.937,Nsync-grv=   1124071 Nsync-hyd=    462657  r****************************************ttttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeecC999999HHH[yy+++??A00011T7
1513,0.582,Nsync-grv=     50672 Nsync-hyd=      7584  :::rDE*********************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXc9y+++++++++++++++l"""o?A)KF-
1514,2.819,Nsync-grv=    651057 Nsync-hyd=    265188  :*****************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXeEEcC99999HHH[[[[yyyy+++"?AA00K11TF
1515,0.590,Nsync-grv=     50838 Nsync-hyd=      7613  :::rd*********************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXe9y+++++++++++++++++++l"""o?AAKF-
1516,3.658,Nsync-grv=   1015456 Nsync-hyd=    462201  r*******************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXeeEcC999999HHHH[[[yyyy++"?AA000111T7
1517,0.591,Nsync-grv=     50932 Nsync-hyd=      7596  :::rDe*********************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXJHy+++++++++++++++l"""o??A)KF-
1518,2.886,Nsync-grv=    651294 Nsync-hyd=    265065  :***************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEcCC9999HHHH[[[[yyyy+++o?AI0011T7
1519,0.496,Nsync-grv=     51007 Nsync-hyd=      7595  :::rrDe*********************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXE9H++++++++++++++++++++++++l"""o???AIKF--
1520,3.887,Nsync-grv=   1336225 Nsync-hyd=    462058  r***************************************************ttttttttttttttxxxxxXXXXXXXXXXXXXXXeeEC9999999HH[[[yyyy++o?A0000111T7
1521,0.452,Nsync-grv=     51002 Nsync-hyd=      7596  ::::rDe**************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXXX99y++++++++++++++++++++++""""o??AAK1F-
1522,2.809,Nsync-grv=    651579 Nsync-hyd=    264919  :******************************************ttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy+++"???A000011T7
1523,0.637,Nsync-grv=     51067 Nsync-hyd=      7594  :::rDE***********************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXX9H+++++++++++++++++++"""o?AAKF--
1524,3.595,Nsync-grv=   1015457 Nsync-hyd=    461596  r********************************************tttttttttttttttttxxxxxxXXXXXXXXXXXXXXXXeeEEcC9999999HHH[[yyy+++o?AA000111T7
1525,0.678,Nsync-grv=     51082 Nsync-hyd=      7578  ::rrDe*****************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXcHy++++++++++++++++""o??AKF---
1526,2.883,Nsync-grv=    651997 Nsync-hyd=    264853  :**************************************ttttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy++++o?AA0011TF
1527,0.568,Nsync-grv=     51151 Nsync-hyd=      7575  :::rrde******************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXJ9+++++++++++++++++++l"""o??A)KF---
1528,4.325,Nsync-grv=   1124317 Nsync-hyd=    461469  r*********************************ttttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXeeEC999999HH[yy+++?AA0011T7
1529,0.464,Nsync-grv=     51202 Nsync-hyd=      7576  ::::rDe*************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXE9[++++++++++++++++++++l"""o???A0KF-
1530,2.855,Nsync-grv=    652557 Nsync-hyd=    264919  :*****************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXeEEcC99999HHH[[[[yyy++++"?AA00011TF
1531,0.658,Nsync-grv=     51228 Nsync-hyd=      7569  ::::rDe*******************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXc9[y+++++++++++++++l""o??AK7--
1532,3.782,Nsync-grv=   1015444 Nsync-hyd=    460997  r*****************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXeeEcj99999HHHH[[[yyy++"??AA000111T7
1533,0.501,Nsync-grv=     51207 Nsync-hyd=      7567  ::::rDde************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXJH[y+++++++++++++++++++l""""o??AIK7--
1534,2.856,Nsync-grv=    653422 Nsync-hyd=    265107  :*****************************************ttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXheEcCC99999HHH[[[yyy++++o?A000011TF
1535,0.540,Nsync-grv=     51213 Nsync-hyd=      7558  :::rrd******************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXe9H+++++++++++++++++++++"""o??A)KF--
1536,3.974,Nsync-grv=   1600000 Nsync-hyd=    460830  r********************************************************tttttttttttttttxxxxxXXXXXXXXXXXXXheeEC9999999HH[y+++??AA00K11T7
1537,0.726,Nsync-grv=     51262 Nsync-hyd=      7552  :::rDe****************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXECH[y+++++++++++++++++l""o??AKF--
1538,2.915,Nsync-grv=    654290 Nsync-hyd=    265311  :****************************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXeEEcC99999HHH[[[[yyy+++"??A00K11TF
1539,0.525,Nsync-grv=     51288 Nsync-hyd=      7541  :::rrE******************************tttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXe9H+++++++++++++++++++l"""o?AA01F-
1540,3.770,Nsync-grv=   1015413 Nsync-hyd=    460385  r***************************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeecC9999999HH[[yy+++??AA00111T7
1541,0.564,Nsync-grv=     51292 Nsync-hyd=      7543  :::rrE***************************ttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXd9H++++++++++++++++++l"""o??AIkF--
1542,2.718,Nsync-grv=    655116 Nsync-hyd=    265463  :********************************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy+++l??AA00K11TF
1543,0.531,Nsync-grv=     51244 Nsync-hyd=      7538  ::::rrd***********************************tttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXEC9[[+++++++++++++++++++++l"""o???AK7---
1544,3.810,Nsync-grv=   1124597 Nsync-hyd=    460276  r********************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXeeEcC999999HHH[[[yyy+++??A0000111TF
1545,0.486,Nsync-grv=     51212 Nsync-hyd=      7556  ::::rd*************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXc9[++++++++++++++++++++++l"""o???A0kF-
1546,2.742,Nsync-grv=    655838 Nsync-hyd=    265648  :********************************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXdeEc99999HHH[[[[yy++++o?A00011T7
1547,0.514,Nsync-grv=     51203 Nsync-hyd=      7540  :::rrDE***************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXe9Hy+++++++++++++++++++++""""o??A01F----
1548,3.887,Nsync-grv=   1015461 Nsync-hyd=    459815  r***************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXeeEcCC999999HHH[[[yyy+++??AA000111TF
1549,0.448,Nsync-grv=     51262 Nsync-hyd=      7546  ::::rDE******************************************ttttttttttttttxxxxXXXXXXXXXXXXXXe9H+++++++++++++++++++++l""""o???A0KTF-
1550,2.732,Nsync-grv=    656383 Nsync-hyd=    265683  :******************************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXdeEcJ99999HH[[yy++++o?AI0111T-
1551,0.513,Nsync-grv=     51296 Nsync-hyd=      7555  ::::rEe***********************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXa9Hy+++++++++++++++++++l"""o??AA0kF-
1552,4.272,Nsync-grv=   1337127 Nsync-hyd=    459713  r*****************************************tttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXXbeEEcC99999HHHH[[yyy++"?A00011TF
1553,0.541,Nsync-grv=     51275 Nsync-hyd=      7547  :::rrd******************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXe9H++++++++++++++++++++l""oo??A01F--
1554,2.729,Nsync-grv=    656655 Nsync-hyd=    265557  :********************************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXXBeEcC99999HHH[yyy+++"?AA0011TF
1555,0.509,Nsync-grv=     51261 Nsync-hyd=      7555  ::::rDE***************************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXE9Hy+++++++++++++++++++l"""o???AA0TF--
1556,4.064,Nsync-grv=   1015445 Nsync-hyd=    459275  :************************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEEccCC9999999HH[[yy++++?AA00W11TF
1557,0.472,Nsync-grv=     51260 Nsync-hyd=      7565  ::::rDE*******************************************ttttttttttttxxxXXXXXXXXXXXd99y++++++++++++++++++++++++++l"""o???A)KTF-
1558,2.988,Nsync-grv=    656896 Nsync-hyd=    265446  :**************************************ttttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeEcC99999HH[yy++++o?AA011TTF
1559,0.568,Nsync-grv=     51342 Nsync-hyd=      7582  :::rrd********************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXX#9H+++++++++++++++++++++"""o??A)KF---
1560,3.815,Nsync-grv=   1124933 Nsync-hyd=    459149  :**********************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXdeEEcCC999999HHH[[[[yyyy++"??A000111TF
1561,0.564,Nsync-grv=     51430 Nsync-hyd=      7599  :::rDE***************************tttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXe9y+++++++++++++++++++l"""o?AIKF--
1562,2.750,Nsync-grv=    657482 Nsync-hyd=    265496  :******************************************tttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy+++"?AA0011TF
1563,0.591,Nsync-grv=     51583 Nsync-hyd=      7635  :::rrE***************************ttttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXc9[+++++++++++++++++"""o??A0kF---
1564,3.598,Nsync-grv=   1015467 Nsync-hyd=    458712  r*********************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXbeeEccC9999999HHH[yyy+++??A000111TF
1565,0.582,Nsync-grv=     51654 Nsync-hyd=      7652  :::rrDe******************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXC9[++++++++++++++++++l"""o??AIKF---
1566,3.003,Nsync-grv=    658027 Nsync-hyd=    265556  :*************************************ttttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXeEECJ9999HHH[[yyy+++"?A)0011TF
1567,0.537,Nsync-grv=     51663 Nsync-hyd=      7672  :::rDE********************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXe9[+++++++++++++++++++""""o?AA01F-
1568,4.227,Nsync-grv=   1472645 Nsync-hyd=    458564  r************************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXeEEccC999999HHH[[[yyy++"??A00011T7
1569,0.497,Nsync-grv=     51712 Nsync-hyd=      7686  ::::DE*************************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXE9[+++++++++++++++++++++++++"""oo??A01F-
1570,2.726,Nsync-grv=    658647 Nsync-hyd=    265700  :*******************************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXeeEC99999HHH[[yyy+++"?AA0011T7
1571,0.540,Nsync-grv=     51780 Nsync-hyd=      7690  :::rDe******************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXX9Hy++++++++++++++++++l"""o??A)K7-
1572,3.695,Nsync-grv=   1015457 Nsync-hyd=    458111  :********************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXeeEcccC9999999HHH[[yy+++"?A)00111T7
1573,0.537,Nsync-grv=     51763 Nsync-hyd=      7710  ::::rDE*************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXC9y+++++++++++++++++++l"""o?AA0kF--
1574,2.726,Nsync-grv=    659277 Nsync-hyd=    265860  :********************************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeeEcCJ99999HHH[[yy++++l??A0111TF
1575,0.474,Nsync-grv=     51835 Nsync-hyd=      7704  ::::rde**************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXX#9Hy++++++++++++++++++++l"""o??AAW1F-
