step,sec,dump
43,0.366,Nsync-grv=     44843 Nsync-hyd=     15050  :::rrDdE************************ttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXec99H[y+++++++++++++++++++++++++++l""""o??A)0KF----
44,2.930,Nsync-grv=   1007899 Nsync-hyd=    594419  r*******************************ttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXdeeEEccC99999999HHHH[[[[[yyyy+++??0000017
45,0.355,Nsync-grv=     44227 Nsync-hyd=     15109  :::::rDdE*************************tttttttttttttxxxxxxxxXXXXXXXXXXXXEccC99H[yy+++++++++++++++++++++++++++"""oo??A)K1F----
46,1.719,Nsync-grv=    573686 Nsync-hyd=    325633  :E****************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEECC9999999HHHHH[[[[yyyy++++++oA0000TF
47,0.352,Nsync-grv=     43542 Nsync-hyd=     14855  ::::rDdE************************ttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXBEJ9H[y++++++++++++++++++++++++++++l"""o??AA0K7F---
48,2.986,Nsync-grv=   1296622 Nsync-hyd=    594303  r**********************************ttttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeeEcC999999999HHH[[yyy++++??)00017
49,0.334,Nsync-grv=     42756 Nsync-hyd=     14551  ::::rrDEe***************************tttttttttttttxxxxxxXXXXXXXXXXXXecC99H[y++++++++++++++++++++++++++++"""oo??AA)0kF----
50,1.807,Nsync-grv=    574042 Nsync-hyd=    325463  :E***********************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXeeEECC9999999HHHH[[[[yyyyy+++++"?)001F
51,0.402,Nsync-grv=     42301 Nsync-hyd=     14262  :::rrdE****************tttttttttttttttttxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXEJ9H[y+++++++++++++++++++++++l"""o?AA0KF--
52,2.859,Nsync-grv=   1007890 Nsync-hyd=    593372  :**********************************tttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXeeeEEcCC999999HHHHHH[[[[[[[[[yyyyy+++"??0000017
53,0.355,Nsync-grv=     41980 Nsync-hyd=     13874  ::::rDE**********************tttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXdc99Hy+++++++++++++++++++++++++l"""oo??A0K7--
54,1.885,Nsync-grv=    574560 Nsync-hyd=    325414  :E***********************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeEEEcccCC999999HHHH[[[[[[yyyy+++++"?A0001F
55,0.334,Nsync-grv=     41797 Nsync-hyd=     13340  ::::rrDE**************************tttttttttttttxxxxxxxxXXXXXXXXXXXXXdc99Hy++++++++++++++++++++++++++++++l"""oo??AA0K7---
56,2.967,Nsync-grv=   1108170 Nsync-hyd=    593278  r********************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeEEcCC99999999HHHH[[[yyyy+++o?000001F
57,0.355,Nsync-grv=     41544 Nsync-hyd=     12748  :::rrrDEe*********************tttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXEc99H[y+++++++++++++++++++++++++++l"""oo??A)0kF----
58,1.952,Nsync-grv=    574946 Nsync-hyd=    325289  :*******************************ttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXdeeEcC999999HHHH[[[[yyyy+++++"?)001F
59,0.357,Nsync-grv=     41380 Nsync-hyd=     12166  :::rrDEe*********************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXBc99H[y++++++++++++++++++++++++++l""""o??A0K7---
60,3.067,Nsync-grv=   1007891 Nsync-hyd=    592392  r****************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXheeEccCC999999HHHHH[[[[[[yyyyy+++????A00000T7
61,0.398,Nsync-grv=     41104 Nsync-hyd=     11655  :::rrDE*******************tttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXBc9H[y+++++++++++++++++++++++l""oo???AA0KF---
62,1.887,Nsync-grv=    575416 Nsync-hyd=    325163  :***********************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXeeEEcccCJ999999HHHH[[[[[yyyyy+++++l?A000kF
63,0.388,Nsync-grv=     40985 Nsync-hyd=     11148  ::::rrDE*******************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXhc9H[++++++++++++++++++++++++++l"""oo??A)K7---
64,3.141,Nsync-grv=   1600000 Nsync-hyd=    592319  r***************************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXheeEccC9999999HHHH[[[[yyy+++o?000017
65,0.341,Nsync-grv=     40873 Nsync-hyd=     10753  ::::rDdE*************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXeJ9H[y+++++++++++++++++++++++++++""""o???A0K1F---
66,1.785,Nsync-grv=    575838 Nsync-hyd=    325028  :e*************************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeeEEcC999999HHHHH[[[[[yyyy+++++"?A000kF
67,0.349,Nsync-grv=     40863 Nsync-hyd=     10409  :::rrDde**********************tttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXE99[y++++++++++++++++++++++++++++l""""o??AA)K1F---
68,2.731,Nsync-grv=   1007883 Nsync-hyd=    591388  :************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXeeeEcCC9999999HHHHH[[[[[yyyyyy+++"??A0000TF
69,0.375,Nsync-grv=     40977 Nsync-hyd=     10152  ::::rDEe*******************tttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXeJ9[+++++++++++++++++++++++++"""oo??A)KF---
70,1.986,Nsync-grv=    576263 Nsync-hyd=    324911  :e*****************************ttttttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEcC999999HHHH[[[[yyy+++++"?0001F
71,0.343,Nsync-grv=     41154 Nsync-hyd=     10045  ::::rrdE*************************ttttttttttttxxxxxxXXXXXXXXXXXXeJ9Hy++++++++++++++++++++++++++++++++++++""""o???A0K7F---
72,2.645,Nsync-grv=   1108092 Nsync-hyd=    591302  :******************************************ttttttttttttttxxxxxxXXXXXXXXXXXXXeeeEEccCC99999999HHHHH[[[[yyyyy+++"??A0000T7
73,0.334,Nsync-grv=     41312 Nsync-hyd=      9907  :::rrrDE**************************ttttttttttttttxxxxxxxxXXXXXXXXXXXXXXeJ9Hy+++++++++++++++++++++++++++++""""o??AA)K7F---
74,1.910,Nsync-grv=    576722 Nsync-hyd=    324794  :******************************ttttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXeeECj999999HHH[[yyy+++++"?00KF
75,0.357,Nsync-grv=     41483 Nsync-hyd=      9813  ::::rDEe**********************ttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXE9H[y++++++++++++++++++++++++++++l"""o??A)0kF--
76,2.772,Nsync-grv=   1007858 Nsync-hyd=    590355  r************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXeeeEcCC9999999HHHHH[[[[yyyyy+++"??A00000TF
77,0.384,Nsync-grv=     41637 Nsync-hyd=      9781  ::::::rrDE*********************ttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXEcC9H[[y+++++++++++++++++++++++++l"""oo???AA0KF----
78,1.783,Nsync-grv=    577289 Nsync-hyd=    324766  :E***************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXeeEEccCj99999HHHHH[[[[[yyyyy+++++"?A0001F
79,0.383,Nsync-grv=     41803 Nsync-hyd=      9767  :::rrDEe*******************tttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeJ9[++++++++++++++++++++++++++l"""o??A)K7---
80,2.870,Nsync-grv=   1296894 Nsync-hyd=    590268  r***************************************ttttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXeeeEcC999999999HHH[yyyy+++"?A0000WTF
81,0.401,Nsync-grv=     41863 Nsync-hyd=      9801  :::rrdE****************ttttttttttttttttttxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeJ9[y+++++++++++++++++++++++"""o??AA0kF--
82,1.930,Nsync-grv=    577706 Nsync-hyd=    324678  :e*******************************ttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEcCJ999999HHH[[[[yyy+++++o?0001F
83,0.407,Nsync-grv=     41958 Nsync-hyd=      9787  ::::rDE******************tttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXBC9Hy+++++++++++++++++++++++++l"""o??AA0kF--
84,3.072,Nsync-grv=   1007840 Nsync-hyd=    589348  r***************************ttttttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEEcCJ999999HHHH[[[[yyyy+++"?A0000T7
85,0.379,Nsync-grv=     41948 Nsync-hyd=      9817  :::rrDEe********************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXDJ9[y+++++++++++++++++++++++++l"""o??AA)W1F---
86,1.788,Nsync-grv=    578088 Nsync-hyd=    324549  :e**************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXXXeEEcccCC999999HHHH[[yyyy++++++"?)001F
87,0.365,Nsync-grv=     41884 Nsync-hyd=      9860  :::rrDEe***********************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXE9H[y++++++++++++++++++++++++++l"""o??AA0kF---
88,2.776,Nsync-grv=   1108054 Nsync-hyd=    589277  :**************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXXeeeEEcCC999999999HHH[[[yyyyy+++l??)000KT7
89,0.430,Nsync-grv=     41863 Nsync-hyd=      9874  :::rDEe***************tttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXhJ9[y++++++++++++++++++++l"""o??AA07---
90,1.992,Nsync-grv=    578293 Nsync-hyd=    324250  :******************************tttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXXeeEcC999999HHH[[yyyy+++++"?0001F
91,0.416,Nsync-grv=     41971 Nsync-hyd=      9881  :::rrDE******************tttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXc9Hy+++++++++++++++++++++++l"""o??A0kF---
92,2.912,Nsync-grv=   1007753 Nsync-hyd=    588342  r*******************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeeEcCC9999999HHHH[[[yyyyy+++"??A)000T7
93,0.400,Nsync-grv=     42097 Nsync-hyd=      9890  ::::rDE*******************tttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXc9Hy++++++++++++++++++++++++"""o??A)K7---
94,1.690,Nsync-grv=    578504 Nsync-hyd=    323987  :E*****************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXXXeeEEcCJ9999999HHHH[[yyyy++++++"A0001F
95,0.376,Nsync-grv=     42156 Nsync-hyd=      9883  :::rrDdE**********************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXc9H[y++++++++++++++++++++++++++l"""o???A0kF---
96,3.002,Nsync-grv=   1468026 Nsync-hyd=    588299  r*****************************************tttttttttttttttttxxxxxxxxXXXXXXXXXXXXXX#eeEEcC9999999HHHH[[[[yyyy+++o??A0000T7
97,0.406,Nsync-grv=     42135 Nsync-hyd=      9875  :::rrDE*****************ttttttttttttttttttxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXc9H+++++++++++++++++++++++"""o??AA0kF--
98,1.848,Nsync-grv=    578711 Nsync-hyd=    323736  :E*********************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXdeeEcCJ999999HHH[[[yyyy+++++"?00001F
99,0.375,Nsync-grv=     42145 Nsync-hyd=      9848  :::rrDEe*******************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeJ9[+++++++++++++++++++++++++++l"""o??AAK7---
100,2.658,Nsync-grv=   1007771 Nsync-hyd=    587344  :*************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXdeeEEcCCJ99999999HHHH[[[yyyyy+++"??AI0001TF
101,0.363,Nsync-grv=     42086 Nsync-hyd=      9797  ::::rDEe***********************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXe9Hy+++++++++++++++++++++++++l"""o??AA0K7--
102,1.928,Nsync-grv=    578944 Nsync-hyd=    323529  :E********************************ttttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEcCj99999HHHH[[[[yyyy+++++l?A001F
103,0.410,Nsync-grv=     42064 Nsync-hyd=      9802  :::rrDE******************tttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXDC9[+++++++++++++++++++++++++l"""o??AAK7F--
104,3.034,Nsync-grv=   1108011 Nsync-hyd=    587300  r*******************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeEEcCC99999999HHH[[[yyyyy+++o??A000KTF
105,0.397,Nsync-grv=     42184 Nsync-hyd=      9814  :::rrDEe*******************ttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXc9Hy+++++++++++++++++++++++l"""o??AA0TF--
106,1.905,Nsync-grv=    578745 Nsync-hyd=    323026  :e*********************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXBeeEcCC999999HHH[[[yyyy+++++"?0001F
107,0.329,Nsync-grv=     42253 Nsync-hyd=      9832  ::::rDdE*****************************ttttttttttttttxxxxxxXXXXXXXXXXXXXDC9H[+++++++++++++++++++++++++++++l""""o???A)0KF--
108,2.714,Nsync-grv=   1007766 Nsync-hyd=    586410  :*************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXX#eeEEccCC99999999HHHH[[[yyyyy++++???A00001TF
109,0.442,Nsync-grv=     42288 Nsync-hyd=      9805  :::rrde****************ttttttttttttttttttxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXc9H[y++++++++++++++++++++++l"""o??A0K7---
110,1.832,Nsync-grv=    578679 Nsync-hyd=    322562  :e***********************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXeeeEcC999999HHHH[[[[[yyyy++++++"?0001F
111,0.398,Nsync-grv=     42304 Nsync-hyd=      9797  ::::rDE*********************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeJ9[+++++++++++++++++++++++++++"""o??AAKTF--
112,3.157,Nsync-grv=   1297161 Nsync-hyd=    586411  r*********************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXBeeEcCC999999HHHH[[[[yyyy++"???A000WT7
113,0.444,Nsync-grv=     42282 Nsync-hyd=      9766  ::::rrDEe*****************tttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXcC9[[y++++++++++++++++++++l""o??AA0TF----
114,2.007,Nsync-grv=    578313 Nsync-hyd=    321994  :E******************************ttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeeECJ99999HHHH[[[yyyy++++++"A0001F
115,0.353,Nsync-grv=     42279 Nsync-hyd=      9758  :::rrDEe*************************tttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXE99[++++++++++++++++++++++++++l""""o??AA0KF---
116,2.984,Nsync-grv=   1007778 Nsync-hyd=    585497  r*****************************tttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeeEcCC999999HHHHH[[[yyyyy+++"???A0000KTF
117,0.347,Nsync-grv=     42179 Nsync-hyd=      9732  ::::rrDE**************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXe99[y+++++++++++++++++++++++++""""o?AAI0kF---
118,1.825,Nsync-grv=    578121 Nsync-hyd=    321525  :E***********************************ttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXeeeEcC9999999HHH[[[yyyy+++++"?A00001F
119,0.416,Nsync-grv=     42167 Nsync-hyd=      9715  :::rrDEe********************ttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXdJ9[y++++++++++++++++++++++++"""o??AA0kF--
120,3.025,Nsync-grv=   1107978 Nsync-hyd=    585498  :**********************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEEcCC9999999HHHH[[[yyyyy+++??A00001TF
121,0.383,Nsync-grv=     42134 Nsync-hyd=      9669  ::::rDEe**********************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeJ9[y+++++++++++++++++++++++++""""o??A0KF---
122,1.968,Nsync-grv=    578073 Nsync-hyd=    321170  :**********************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEEccCC999999HHHH[[[[yyyyy+++++"?)001F
123,0.410,Nsync-grv=     42096 Nsync-hyd=      9661  :::rrdE******************tttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXE9H[++++++++++++++++++++++++++++l"""o??A)KF--
124,3.000,Nsync-grv=   1007752 Nsync-hyd=    584616  r*****************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXdeeEccCj999999HHHH[[[[yyyy+++"??A00001TF
125,0.387,Nsync-grv=     42139 Nsync-hyd=      9645  :::rrDdE**********************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXeJ9[+++++++++++++++++++++++++++"""o???A0KF---
126,1.946,Nsync-grv=    578060 Nsync-hyd=    320809  :*******************************ttttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXeeECj99999HHHH[[[[yyyy+++++"?)0001F
127,0.394,Nsync-grv=     42109 Nsync-hyd=      9638  ::::rDE*********************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXC9H[y+++++++++++++++++++++++++++++l"""o??A0K7F--
128,3.193,Nsync-grv=   1600000 Nsync-hyd=    584580  r****************************************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXX#eeEccCJ9999999HHH[[[yyy+++"?A0001T7
129,0.410,Nsync-grv=     42201 Nsync-hyd=      9630  :::rrDE****************ttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXbJ9[++++++++++++++++++++++l"""o??A)K7---
130,1.813,Nsync-grv=    578278 Nsync-hyd=    320606  :E************************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEEcC9999999HHH[[[yyyy++++++o?0001F
