step,sec,dump
0,12.429,Nsync-grv=   1600000 Nsync-hyd=    600000  :**************************ttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEEEEccccCCC99H[y+++?0333333337777777777F
1,0.592,Nsync-grv=     53310 Nsync-hyd=     15149  ::rrE*******************ttttttttttttxxxxxxxXXXXXXXXXXXXeC9Hy++++++++++++++++++++++++++++++++++++++++++++++++++l""??)07--
2,1.749,Nsync-grv=    572806 Nsync-hyd=    329366  :e***************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXX#eEEFcccCC9999999HHHH[[[yyyyy++++++oA00001F
3,0.414,Nsync-grv=     53264 Nsync-hyd=     15041  :::rrdE*****************************tttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXdc99H[y+++++++++++++++++++++++++l"""o?AA0KF--
4,2.719,Nsync-grv=   1007864 Nsync-hyd=    599417  :**********************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXXeeEEcCC999999999HHHH[[[yyyyy++++??)00000TF
5,0.465,Nsync-grv=     53234 Nsync-hyd=     15301  :::rDE*********************ttttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXX#EJ9H[yy+++++++++++++++++++l""oo?A)0kF--
6,1.905,Nsync-grv=    572788 Nsync-hyd=    328937  :********************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXeeEEcCJ99999HHHHH[[[[[yyyy++++++"?000001F
7,0.446,Nsync-grv=     53100 Nsync-hyd=     15459  :::rDE************************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXEC99[y++++++++++++++++++++++l""o??AA0KF--
8,3.076,Nsync-grv=   1108210 Nsync-hyd=    599282  r*****************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXDeeEcCC9999999HHHH[[[[yyyyy+++"?A000017
9,0.416,Nsync-grv=     52756 Nsync-hyd=     15291  :::rrDE***************************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXDc99H[y++++++++++++++++++++++l"""o??A0K7F--
10,1.823,Nsync-grv=    572492 Nsync-hyd=    328357  :E*************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEccCC999999HHHHH[[[[[[[yyyyy+++++"?A00001F
11,0.438,Nsync-grv=     52638 Nsync-hyd=     14937  :::rDEe**********************ttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXE99Hy+++++++++++++++++++++l""oo??A007F--
12,2.920,Nsync-grv=   1007857 Nsync-hyd=    598366  r*****************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeeeEcCC9999999HHHHH[[[[yyyyy+++"?)000017
13,0.475,Nsync-grv=     52468 Nsync-hyd=     14669  :::rE******************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXDc99[y+++++++++++++++++++l""o??A0W7-
14,2.047,Nsync-grv=    572167 Nsync-hyd=    327780  :***************************ttttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXXdeEEccCCJ999999HHH[[[yyyy++++l?0000kF
15,0.535,Nsync-grv=     52241 Nsync-hyd=     14646  :::rDE***************tttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeC9H[y++++++++++++++++++l""o?A)0KF--
16,2.837,Nsync-grv=   1296338 Nsync-hyd=    598279  r********************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEEcCJ99999999HHHH[[yyyy++++?A0000TF
17,0.441,Nsync-grv=     52039 Nsync-hyd=     14832  :::rDEe**********************ttttttttttttttttttxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXeC9HHyy+++++++++++++++++++++l"""o?A)0KF--
18,1.760,Nsync-grv=    572161 Nsync-hyd=    327352  :E**************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXheeEEccCJ999999HHHHH[[[[[yyyy+++++"?A00001F
19,0.412,Nsync-grv=     51819 Nsync-hyd=     15156  ::::rDE**************************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXEJ9H[y+++++++++++++++++++++++l"""o??A0K7--
20,2.635,Nsync-grv=   1007817 Nsync-hyd=    597373  :*************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEEcCC999999999HHHHH[[[[yyyyyy+++"?A0000017
21,0.424,Nsync-grv=     51643 Nsync-hyd=     15545  :::rrDE*************************ttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXeC99H[y+++++++++++++++++++++++l""oo?AA0KF---
22,1.758,Nsync-grv=    572356 Nsync-hyd=    327091  :E**************************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXX#eeEEccCC9999999HHHH[[[yyyyy+++++"?)0001F
23,0.460,Nsync-grv=     51385 Nsync-hyd=     15747  :::rDE**********************ttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXEC9H[[y+++++++++++++++++++++"""o?A)0kF--
24,2.839,Nsync-grv=   1108168 Nsync-hyd=    597286  r**************************************ttttttttttttttxxxxxxXXXXXXXXXXXXXXeeeEEcC99999999HHHHH[[[[[[yyyyyy++++"?A0000001F
25,0.383,Nsync-grv=     50966 Nsync-hyd=     15640  ::::rDE**************************tttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXE99H[y++++++++++++++++++++++++""""o?AA0K7--
26,1.899,Nsync-grv=    572625 Nsync-hyd=    326911  :e*********************************ttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXeeeEC9999999HHHH[[[[yyyy+++++l?A00001F
27,0.409,Nsync-grv=     50416 Nsync-hyd=     15283  :::rrDE************************tttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXEC99Hy++++++++++++++++++++++++l"""o??AIK7---
28,2.719,Nsync-grv=   1007841 Nsync-hyd=    596378  :***********************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXDeeEEcC999999999HHHH[[[[[yyyyy++++??A00000TF
29,0.377,Nsync-grv=     49895 Nsync-hyd=     15045  :::rrDE****************************tttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXDc99H[++++++++++++++++++++++++++"""oo?AA0K7---
30,1.939,Nsync-grv=    572894 Nsync-hyd=    326659  :e*******************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeEcCJ99999HHHHH[[[[[[[yyyyy+++++"?00001F
31,0.445,Nsync-grv=     49463 Nsync-hyd=     15136  :::rDEe*******************ttttttttttttttttttxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXEJ9H[y+++++++++++++++++++++l"""??A0K7---
32,2.930,Nsync-grv=   1467823 Nsync-hyd=    596281  r********************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEEcCCj99999999HHHH[[yyyy+++"?A00017
33,0.349,Nsync-grv=     48759 Nsync-hyd=     15257  :::rrDEe******************************tttttttttttttxxxxxxXXXXXXXXXXXXXhEJ99H[y++++++++++++++++++++++++++l""""o??A)0KF---
34,1.924,Nsync-grv=    573226 Nsync-hyd=    326440  :*******************************tttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeeEcC999999HHHH[[[[[yyyyy++++"?A0001F
35,0.440,Nsync-grv=     48213 Nsync-hyd=     15327  :::rDE****************tttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXBc99[y+++++++++++++++++++++l"""??A0kF-
36,2.867,Nsync-grv=   1007831 Nsync-hyd=    595363  r*******************************ttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeeEEccCC99999999HHHHH[[[yyyyy+++l?A00001F
37,0.474,Nsync-grv=     47550 Nsync-hyd=     15195  ::rrDE**************tttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXc9HHyy+++++++++++++++++++"""o?AA07F---
38,1.985,Nsync-grv=    573376 Nsync-hyd=    326209  :*****************************ttttttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXheeEcC999999HHHH[[[yyy+++++"?00001F
39,0.453,Nsync-grv=     46637 Nsync-hyd=     15081  :::rDEe******************ttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXeC9H[y++++++++++++++++++++++++l""oo???A)K17777777777F--
40,2.726,Nsync-grv=   1108193 Nsync-hyd=    595305  r***************************************tttttttttttttttxxxxxXXXXXXXXXXXXXXXdeeEEcCC99999999HHHHH[[[[[yyyyyy++++??000001F
41,0.339,Nsync-grv=     45676 Nsync-hyd=     15078  ::::rrDdE****************************tttttttttttttxxxxxxxXXXXXXXXXXXXeE99H[y++++++++++++++++++++++++++l"""oo??A)0K7-----
42,1.843,Nsync-grv=    573609 Nsync-hyd=    325984  :E***********************************tttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXeeEEcCC999999HHHHH[[[[yyyyy+++++"?A000001F
